Product Name,Store Name,Price
Pro Smash Bola Voli Junior PU,PT. CAHAYA ILMU ABADI,"IDR 374,900.00"
Pro Smash Bola Voli Junior PVC,PT. CAHAYA ILMU ABADI,"IDR 363,400.00"
Pro Smash Bola Voli Senior PU,PT. CAHAYA ILMU ABADI,"IDR 373,800.00"
Pro Smash Bola Voli Senior PVC,PT. CAHAYA ILMU ABADI,"IDR 362,300.00"
Jaring Gawang,Sport.idi,"IDR 675,000.00"
PROTEAM BOLA VOLLEY VANQUISHER SIZE 5,CV. WARDHANA,"IDR 255,000.00"
PROTEAM BOLA FUTSAL CRIMSON SIZE 4,CV. WARDHANA,"IDR 275,000.00"
Bola Sepak / Bola Kaki,CV.MAKMUR JAYA SALAWASNA,"IDR 490,000.00"
PROTEAM BOLA VOLI LAMINATE PU I MICROFIBER GL...,CV. ALKAUTSAR AFLAH MANDIRI,"IDR 350,000.00"
PROTEAM BOLA VOLLEY GLORIUS SIZE 5,CV. WARDHANA,"IDR 330,000.00"
BOLA VOLLEY BEACH SIZE 4 (Blue/White/Yellow),CV. WARDHANA,"IDR 330,000.00"
PROTEAM BOLA VOLLEY BEACH SIZE 5 (Orange/Whit...,CV. WARDHANA,"IDR 330,000.00"
BOLA VOLLEY BEACH SIZE 5 (Blue/Purple/White),CV. WARDHANA,"IDR 330,000.00"
PROTEAM BOLA VOLLEY BEACH SIZE 5 (Blue/White/...,CV. WARDHANA,"IDR 330,000.00"
PROTEAM BOLA VOLI GLORIOUS NO.5,CV. WARDHANA,"IDR 345,500.00"
Face Target Panahan,PT ANTARA JAYA SPORT,"IDR 20,000.00"
TOPI LAPANGAN TLP - 01,PT. Cahaya Agung Insanmandiri,"IDR 70,000.00"
TOPI MODEL SNAPBACK TMS - 01,PT. Cahaya Agung Insanmandiri,"IDR 54,000.00"
TOPI KAIN PERFECTDAY,PT. Cahaya Agung Insanmandiri,"IDR 55,000.00"
TOPI KAIN BORDIR NAMA,PT. Cahaya Agung Insanmandiri,"IDR 75,000.00"
TOPI KAIN BORDIR NAMA STANDART,PT. Cahaya Agung Insanmandiri,"IDR 100,000.00"
TOPI KAIN BORDIR PDH,PT. Cahaya Agung Insanmandiri,"IDR 90,000.00"
TOPI MODEL SNAPBACK DENGAN PENUTUP LEHER,PT. Cahaya Agung Insanmandiri,"IDR 54,000.00"
KAOS BERKERAH LENGAN PANJANG,PT. Cahaya Agung Insanmandiri,"IDR 150,000.00"
KAOS BERKERAH LENGAN PENDEK,PT. Cahaya Agung Insanmandiri,"IDR 140,000.00"
KAOS OBLONG OAHRAGA,PT. Cahaya Agung Insanmandiri,"IDR 84,000.00"
KAOS LATIHAN,PT. Cahaya Agung Insanmandiri,"IDR 160,000.00"
KAOS LATIHAN MERAH PUTIH,PT. Cahaya Agung Insanmandiri,"IDR 160,000.00"
CELANA TRAINING LATIHAN,PT. Cahaya Agung Insanmandiri,"IDR 200,000.00"
CELANA LATIHAN 3/4,PT. Cahaya Agung Insanmandiri,"IDR 100,000.00"
KAOS BERKERAH PRINTING LENGAN PENDEK,PT. Cahaya Agung Insanmandiri,"IDR 180,000.00"
TAS LAPANGAN,PT. Cahaya Agung Insanmandiri,"IDR 215,000.00"
TAS LAPANGAN TLK - 02,PT. Cahaya Agung Insanmandiri,"IDR 210,000.00"
TAS LAPANGAN TLB - 01,PT. Cahaya Agung Insanmandiri,"IDR 270,000.00"
TAS RANSEL LOGO DAERAH,PT. Cahaya Agung Insanmandiri,"IDR 80,000.00"
TAS PINGGANG PETUGAS KEBERSIHAN LAPANGAN TP 4...,PT. Cahaya Agung Insanmandiri,"IDR 145,000.00"
TAS PINGGANG PETUGAS KEBERSIHAN LAPANGAN TP 3...,PT. Cahaya Agung Insanmandiri,"IDR 85,000.00"
TAS RANSEL LOGO DAERAH TRL - 02,PT. Cahaya Agung Insanmandiri,"IDR 80,000.00"
TAS KONTINGEN,PT. Cahaya Agung Insanmandiri,"IDR 190,000.00"
TAS KONTINGEN TROLI LUAR,PT. Cahaya Agung Insanmandiri,"IDR 290,000.00"
TAS KONTINGEN KOPER RODA,PT. Cahaya Agung Insanmandiri,"IDR 700,000.00"
TAS PINGGANG OLAHRAGA,PT. Cahaya Agung Insanmandiri,"IDR 150,000.00"
SHIAMIQ TOLAK PELURU 3 Kg TLP 003,CV SHIAMIQ TERANG ABADI,"IDR 86,000.00"
"SHIAMIQ TOLAK PELURU 7,25 Kg TLP 006",CV SHIAMIQ TERANG ABADI,"IDR 195,000.00"
SHIAMIQ TOLAK PELURU 5 Kg TLP 005,CV SHIAMIQ TERANG ABADI,"IDR 141,000.00"
SHIAMIQ TOLAK PELURU 4 Kg TLP 004,CV SHIAMIQ TERANG ABADI,"IDR 108,000.00"
PROTEAM BOLA BASKET MERDEKA SIZE 6  (GREEN WH...,CV. WARDHANA,"IDR 223,000.00"
PROTEAM BOLA BASKET MERDEKA SIZE 5  (GREEN WH...,CV. WARDHANA,"IDR 220,000.00"
PROTEAM BOLA BASKET LEGION SIZE 7,CV. WARDHANA,"IDR 228,000.00"
PROTEAM BOLA BASKET LEGION SIZE 6,CV. WARDHANA,"IDR 223,000.00"
PROTEAM BOLA BASKET LEGION SIZE 5,CV. WARDHANA,"IDR 220,000.00"
PROTEAM BOLA BASKET TRAINING UNGU,CV. WARDHANA,"IDR 410,000.00"
PROTEAM BOLA BASKET TRAINING LEMON,CV. WARDHANA,"IDR 389,500.00"
PROTEAM BOLA BASKET TRAINING KUNING,CV. WARDHANA,"IDR 369,000.00"
PROTEAM BOLA SEPAK GUARDIAN SIZE 5,CV. WARDHANA,"IDR 360,000.00"
PROTEAM BOLA SEPAK GUARDIAN SIZE 4,CV. WARDHANA,"IDR 350,000.00"
PROTEAM BOLA SEPAK GUARDIAN SIZE 3,CV. WARDHANA,"IDR 340,000.00"
PROTEAM BOLA SEPAK PROACTIVE SIZE 5,CV. WARDHANA,"IDR 340,000.00"
PROTEAM BOLA FUTSAL BRILLIANCE SIZE 4,CV. WARDHANA,"IDR 350,000.00"
PROTEAM BOLA SEPAK GUARDIAN NO.5,CV. WARDHANA,"IDR 375,250.00"
PROTEAM BOLA SEPAK PROACTIVE NO.5,CV. WARDHANA,"IDR 355,500.00"
PROTEAM BOLA SEPAK BREAKER SIZE 5,CV. WARDHANA,"IDR 295,000.00"
PROTEAM BOLA SEPAK BREAKER SIZE 3,CV. WARDHANA,"IDR 270,000.00"
PROTEAM BOLA SEPAK SUPREME SIZE 5,CV. WARDHANA,"IDR 285,000.00"
PROTEAM BOLA SEPAK SUPREME SIZE 4,CV. WARDHANA,"IDR 270,000.00"
PROTEAM BOLA SEPAK SUPREME SIZE 3,CV. WARDHANA,"IDR 260,000.00"
United Bike SEPEDA MTB UNITED BIKE DETROIT 1....,PT. TERANGDUNIA INTERNUSA,"IDR 2,745,000.00"
SAMSAK TINJU,PT. ALPHABET CITRA EDUKASI,"IDR 1,731,000.00"
PECING/PUNCHING/TARGET PAD DATAR DEWASA SATRI...,PT. ALPHABET CITRA EDUKASI,"IDR 352,250.00"
EIGER STINGRAY 1.0 SHOES,CV Dias Dika Dimensi,"IDR 1,320,000.00"
EIGER SLEEP SACK 1000 SLEEPING BAG,CV Dias Dika Dimensi,"IDR 1,200,000.00"
EIGER TRAIL ENDURO TREKKING POLE,CV Dias Dika Dimensi,"IDR 320,900.00"
DECATHLON MENS MOUNTAIN TREKKING DOWN JACKET ...,CV Dias Dika Dimensi,"IDR 3,100,000.00"
WATER BLADDER 1 LITER - ROCKRIDER,CV Dias Dika Dimensi,"IDR 265,999.00"
PINNACLE MATRAS ALUMUNIUM-ULTRALIGHT,CV Dias Dika Dimensi,"IDR 155,900.00"
LAMPU TENDA GANTUNG BAKPAU,CV Dias Dika Dimensi,"IDR 73,900.00"
OXYCAN - OKSIGEN KALENG,CV Dias Dika Dimensi,"IDR 77,000.00"
EIGER STRYKER PANTS,CV Dias Dika Dimensi,"IDR 990,000.00"
MOK'S ARM SHIN IMPACT,PT LUIGI JAYA ABADI,"IDR 500,000.00"
Net Bulutangkis (Lokal  Go-Up),SANG KREASI NUSANTARA,"IDR 566,775.00"
Scoring manual lokal Go-Up,SANG KREASI NUSANTARA,"IDR 1,145,000.00"
HART T-SHIRT POLO (BERKERAH),PT LUIGI JAYA ABADI,"IDR 410,000.00"
HART TAS PUNGGUNG (BAG PACK),PT LUIGI JAYA ABADI,"IDR 350,000.00"
KAOS SEPAK BOLA DAN FUTSAL,PT. AMARCO INDO,"IDR 319,125.00"
Pro Smash Raket Bulutangkis,PT. CAHAYA ILMU ABADI,"IDR 350,000.00"
Pro Smash Meja Tenis,PT. CAHAYA ILMU ABADI,"IDR 5,800,000.00"
myuno Meja Tenis MyUno,PT. CAHAYA ILMU ABADI,"IDR 5,750,000.00"
EIGER STINGRAY 1.0 SHOES,CV Dias Dika Dimensi,"IDR 1,320,000.00"
EIGER SLEEP SACK 1000 SLEEPING BAG,CV Dias Dika Dimensi,"IDR 1,200,000.00"
EIGER TRAIL ENDURO TREKKING POLE,CV Dias Dika Dimensi,"IDR 320,900.00"
myuno Meja Tenis MyUno,PT. CAHAYA ILMU ABADI,"IDR 5,750,000.00"
MOK'S BODY PROTECTOR CARLO LION,PT LUIGI JAYA ABADI,"IDR 450,000.00"
MOK'S ARM SHIN UP PRO,PT LUIGI JAYA ABADI,"IDR 500,000.00"
MOK'S BODY PROTECTOR DOLBY BINTIK,PT LUIGI JAYA ABADI,"IDR 430,000.00"
KARPET LAPANGAN FUTSAL,PT. AMARCO INDO,"IDR 750,000.00"
KARPET LAPANGAN FUTSAL INTERLOC UKURAN 25X25 ...,PT. AMARCO INDO,"IDR 55,000.00"
KARPET LAPANGAN FUTSAL INTERLOC UKURAN 50X50C...,PT. AMARCO INDO,"IDR 99,000.00"
HANDUK KECIL,PT LUIGI JAYA ABADI,"IDR 100,000.00"
TAS KOPER,PT LUIGI JAYA ABADI,"IDR 550,000.00"
910nineten SEPATU OLAH RAGA (RUNNING SHOES),PT LUIGI JAYA ABADI,"IDR 650,000.00"
Net Bulutangkis (Lokal  Go-Up),SANG KREASI NUSANTARA,"IDR 566,775.00"
Scoring manual lokal Go-Up,SANG KREASI NUSANTARA,"IDR 1,145,000.00"
HANDUK KECIL,PT LUIGI JAYA ABADI,"IDR 100,000.00"
TAS KOPER,PT LUIGI JAYA ABADI,"IDR 550,000.00"
910nineten SEPATU OLAH RAGA (RUNNING SHOES),PT LUIGI JAYA ABADI,"IDR 650,000.00"
KAOS OBLONG (KERAH BUNDAR),PT LUIGI JAYA ABADI,"IDR 65,000.00"
Kayak Single (K1),PT. Acege Putra Kusuma Chakti,"IDR 18,500,000.00"
Training Spak Olahraga,CV.CIPTA ABADI UTAMA,"IDR 367,850.00"
Sepatu Olahraga Standar,CV.CIPTA ABADI UTAMA,"IDR 554,500.00"
Bubuk Magnesium,PT. GISOS PRATAMA PERKASA,"IDR 175,000.00"
Baju Angkat Besi,PT. GISOS PRATAMA PERKASA,"IDR 515,000.00"
Kaos Tanding Atletik,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Baju Kempo,PT. GISOS PRATAMA PERKASA,"IDR 785,000.00"
KARPET LAPANGAN FUTSAL,PT. AMARCO INDO,"IDR 750,000.00"
KARPET LAPANGAN FUTSAL INTERLOC UKURAN 25X25 ...,PT. AMARCO INDO,"IDR 55,000.00"
KARPET LAPANGAN FUTSAL INTERLOC UKURAN 50X50C...,PT. AMARCO INDO,"IDR 99,000.00"
MOK'S DOBOK YOUNG FIGHTER,PT LUIGI JAYA ABADI,"IDR 875,000.00"
MOK'S DOBOK POOMSAE JUNIOR BLUE,PT LUIGI JAYA ABADI,"IDR 650,000.00"
MOK'S DOBOK POOMSAE JUNIOR RED,PT LUIGI JAYA ABADI,"IDR 650,000.00"
MOK'S DOBOK FINAL STORM,PT LUIGI JAYA ABADI,"IDR 700,000.00"
MOK'S DOBOK FEATHER LIGHT PLUS,PT LUIGI JAYA ABADI,"IDR 900,000.00"
MOK'S DOBOK GRAND MASTER,PT LUIGI JAYA ABADI,"IDR 1,400,000.00"
MOK'S TARGET BOX MEDIUM BLACK SERIES 2,PT LUIGI JAYA ABADI,"IDR 350,000.00"
MOK'S TARGET BOX BOOM LARGE,PT LUIGI JAYA ABADI,"IDR 650,000.00"
MOK'S TARGET BOX CARLO NEON MEDIUM,PT LUIGI JAYA ABADI,"IDR 600,000.00"
ELECTRONIC BODY PROTECTOR TAEKWONDO KPNP,PT LUIGI JAYA ABADI,"IDR 22,650,000.00"
KEYPAD PSS TAEKWONDO,PT LUIGI JAYA ABADI,"IDR 2,500,000.00"
PROXIMITY SENSOR TESTER TAEKWONDO,PT LUIGI JAYA ABADI,"IDR 2,500,000.00"
CHARGER BODY PROTECTOR TAEKWONDO,PT LUIGI JAYA ABADI,"IDR 650,000.00"
Kaos Tanding Atletik,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Kaos Basket,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Grip Raket Yonex,PT. GISOS PRATAMA PERKASA,"IDR 75,000.00"
Baju Tanding Bulutangkis,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Kaos Tanding Dayung,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Kaos tanding gulat,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Kaos tanding Panahan,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Baju tanding Sepak Bola,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Kaos/Baju Tanding Sepak Takraw,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Kaos Berkerah,PT Tri Kreasi Nusantara,"IDR 181,500.00"
Kaos Basket,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Grip Raket Yonex,PT. GISOS PRATAMA PERKASA,"IDR 75,000.00"
Baju Tanding Bulutangkis,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Kaos Tanding Dayung,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Kaos tanding gulat,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Kaos tanding Panahan,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Baju tanding Sepak Bola,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Kaos/Baju Tanding Sepak Takraw,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Kaos/Baju Tanding Voli,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Kaos/Baju Tanding Voli Pasir,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Kaos/Baju Tanding Tenis Meja,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Adidas Sepatu Tenis,PT. GISOS PRATAMA PERKASA,"IDR 1,500,000.00"
Kaos Tanding/Baju Tenis Lapangan,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Canoe Single (C1),PT. Acege Putra Kusuma Chakti,"IDR 18,000,000.00"
Kaos Tanding/baju Panjat Tebing,PT. GISOS PRATAMA PERKASA,"IDR 365,000.00"
Baju Pencak Silat,PT. GISOS PRATAMA PERKASA,"IDR 750,000.00"
Body Protektor Silat,PT. GISOS PRATAMA PERKASA,"IDR 830,000.00"
Clurit TGR Pencak Silat,PT. GISOS PRATAMA PERKASA,"IDR 375,000.00"
Golok TGR Pencak Silat,PT. GISOS PRATAMA PERKASA,"IDR 385,000.00"
Pisau TGR Pencak Silat,PT. GISOS PRATAMA PERKASA,"IDR 210,000.00"
Toya Pencak Silat,PT. GISOS PRATAMA PERKASA,"IDR 185,000.00"
Sabuk Crap TGR Pencak Silat,PT. GISOS PRATAMA PERKASA,"IDR 115,000.00"
Kain TGR/Sembong Pencak Silat,PT. GISOS PRATAMA PERKASA,"IDR 415,000.00"
Training Spak Olahraga,CV.CIPTA ABADI UTAMA,"IDR 367,850.00"
Sepatu Olahraga Standar,CV.CIPTA ABADI UTAMA,"IDR 554,500.00"
Bubuk Magnesium,PT. GISOS PRATAMA PERKASA,"IDR 175,000.00"
Baju Angkat Besi,PT. GISOS PRATAMA PERKASA,"IDR 515,000.00"
Net dan roll bola volly,CV PERMATA JAYA,"IDR 2,000,000.00"
jaring lapangan volly,CV PERMATA JAYA,"IDR 4,000,000.00"
Lampu Penerangan Lapangan Volly,CV PERMATA JAYA,"IDR 70,000.00"
Pro Smash Bola Senam,PT. CAHAYA ILMU ABADI,"IDR 178,500.00"
Pro Smash Bola Penjas Basket,PT. CAHAYA ILMU ABADI,"IDR 178,500.00"
Wardhana CATUR,CV. WARDHANA,"IDR 460,000.00"
Pro Smash Bola Penjas Soccer,PT. CAHAYA ILMU ABADI,"IDR 178,500.00"
Pro Smash Bola Penjas Volly,PT. CAHAYA ILMU ABADI,"IDR 178,500.00"
PAKET ALAT PERMAINAN TRADISIONAL,cvmurnimakmurjaya,"IDR 10,300,000.00"
Alat Musik Band,cvmurnimakmurjaya,"IDR 20,200,000.00"
ALAT MUSIK TRADISIONAL,cvmurnimakmurjaya,"IDR 17,300,000.00"
TIANG GAWANG,CV. SINERGI SASADA UTAMA,"IDR 7,500,000.00"
TALI WEBBING,CV. MAJU BERSAMA 94,"IDR 5,000.00"
MOK'S ARM SHIN FIGHTER,PT LUIGI JAYA ABADI,"IDR 450,000.00"
MOK'S ARM SHIN GOLD SERIES,PT LUIGI JAYA ABADI,"IDR 450,000.00"
MILLS INDONESIA TRACK PANTS 7041INA - RED,Mitra Kreasi Garmen,"IDR 789,000.00"
MILLS TRAINING HALFZIP LONG SLEEVE,Mitra Kreasi Garmen,"IDR 789,000.00"
MILLS TRAINING HALFZIP LONG SLEEVE WHITE,Mitra Kreasi Garmen,"IDR 789,000.00"
MILLS MATRIX POLO SHIRT 17037 RED,Mitra Kreasi Garmen,"IDR 349,900.00"
